date,modern
1939-01,97.5
1939-02,97.5
1939-03,97.5
1939-04,97.5
1939-05,97.5
1939-06,97.5
1939-07,97.5
1939-08,97.5
1939-09,97.5
1939-10,97.5
1939-11,97.5
1939-12,97.5
1940-01,97.5
1940-02,97.5
1940-03,97.5
1940-04,97.5
1940-05,97.5
1940-06,97.5
1940-07,97.5
1940-08,97.5
1940-09,97.5
1940-10,97.5
1940-11,97.5
1940-12,97.5
1941-01,97.5
1941-02,97.5
1941-03,97.5
1941-04,97.5
1941-05,97.5
1941-06,97.5
1941-07,97.5
1941-08,97.5
1941-09,97.5
1941-10,97.5
1941-11,97.5
1941-12,97.5
1942-01,97.5
1942-02,97.5
1942-03,97.5
1942-04,97.5
1942-05,97.5
1942-06,97.5
1942-07,97.5
1942-08,97.5
1942-09,97.5
1942-10,97.5
1942-11,97.5
1942-12,97.5
1943-01,97.5
1943-02,97.5
1943-03,97.5
1943-04,97.5
1943-05,97.5
1943-06,97.5
1943-07,97.5
1943-08,97.5
1943-09,97.5
1943-10,97.5
1943-11,97.5
1943-12,97.5
1944-01,97.5
1944-02,97.5
1944-03,97.5
1944-04,97.5
1944-05,97.5
1944-06,97.5
1944-07,97.5
1944-08,97.5
1944-09,97.5
1944-10,97.5
1944-11,97.5
1944-12,97.5
1945-01,95.0
1945-02,95.0
1945-03,95.0
1945-04,95.0
1945-05,95.0
1945-06,95.0
1945-07,95.0
1945-08,95.0
1945-09,95.0
1945-10,95.0
1945-11,95.0
1945-12,95.0
1946-01,95.0
1946-02,95.0
1946-03,95.0
1946-04,95.0
1946-05,95.0
1946-06,95.0
1946-07,95.0
1946-08,95.0
1946-09,95.0
1946-10,95.0
1946-11,95.0
1946-12,95.0
1947-01,95.0
1947-02,95.0
1947-03,95.0
1947-04,95.0
1947-05,95.0
1947-06,95.0
1947-07,95.0
1947-08,95.0
1947-09,95.0
1947-10,95.0
1947-11,95.0
1947-12,95.0
1948-01,95.0
1948-02,95.0
1948-03,95.0
1948-04,95.0
1948-05,95.0
1948-06,95.0
1948-07,95.0
1948-08,95.0
1948-09,95.0
1948-10,95.0
1948-11,95.0
1948-12,95.0
1949-01,95.0
1949-02,95.0
1949-03,95.0
1949-04,95.0
1949-05,95.0
1949-06,95.0
1949-07,95.0
1949-08,95.0
1949-09,95.0
1949-10,95.0
1949-11,95.0
1949-12,95.0
1950-01,96.5
1950-02,96.5
1950-03,96.5
1950-04,96.5
1950-05,96.5
1950-06,96.5
1950-07,96.5
1950-08,96.5
1950-09,96.5
1950-10,96.5
1950-11,96.5
1950-12,96.5
1951-01,96.5
1951-02,96.5
1951-03,96.5
1951-04,96.5
1951-05,96.5
1951-06,96.5
1951-07,96.5
1951-08,96.5
1951-09,96.5
1951-10,96.5
1951-11,96.5
1951-12,96.5
1952-01,96.5
1952-02,96.5
1952-03,96.5
1952-04,96.5
1952-05,96.5
1952-06,96.5
1952-07,96.5
1952-08,96.5
1952-09,96.5
1952-10,96.5
1952-11,96.5
1952-12,96.5
1953-01,96.5
1953-02,96.5
1953-03,96.5
1953-04,96.5
1953-05,96.5
1953-06,96.5
1953-07,96.5
1953-08,96.5
1953-09,96.5
1953-10,96.5
1953-11,96.5
1953-12,96.5
1954-01,97.0
1954-02,97.0
1954-03,97.0
1954-04,97.0
1954-05,97.0
1954-06,97.0
1954-07,97.0
1954-08,97.0
1954-09,97.0
1954-10,97.0
1954-11,97.0
1954-12,97.0
1955-01,99.0
1955-02,99.0
1955-03,99.0
1955-04,99.0
1955-05,99.0
1955-06,99.0
1955-07,99.0
1955-08,99.0
1955-09,99.0
1955-10,99.0
1955-11,99.0
1955-12,99.0
1956-01,101.5
1956-02,101.5
1956-03,101.5
1956-04,101.5
1956-05,101.5
1956-06,101.5
1956-07,101.5
1956-08,101.5
1956-09,101.5
1956-10,101.5
1956-11,101.5
1956-12,101.5
1957-01,107.5
1957-02,107.5
1957-03,107.5
1957-04,107.5
1957-05,107.5
1957-06,107.5
1957-07,107.5
1957-08,107.5
1957-09,107.5
1957-10,107.5
1957-11,107.5
